frequency,delayrising,delayfalling
363,620.8400841328536,7.655835438781938e6
364,620.8319041784144,7.655898890234067e6
365,620.823724471571,7.655962333877398e6
366,620.8155450123234,7.656025769712415e6
367,620.8073658006715,7.656089197739603e6
368,620.7991868366154,7.656152617959447e6
369,620.791008120155,7.656216030372434e6
370,620.7828296512904,7.656279434979048e6
371,620.7746514300215,7.656342831779774e6
372,620.7664734563484,7.6564062207750995e6
373,620.758295730271,7.6564696019655075e6
374,620.7501182517894,7.6565329753514845e6
375,620.7419410209036,7.656596340933515e6
376,620.7337640376135,7.656659698712085e6
377,620.7255873019192,7.65672304868768e6
378,620.7174108138205,7.656786390860784e6
379,620.7092345733176,7.656849725231884e6
380,620.7010585804106,7.6569130518014645e6
381,620.6928828350992,7.656976370570011e6
382,620.6847073373837,7.657039681538009e6
383,620.6765320872638,7.657102984705944e6
384,620.6683570847397,7.6571662800743e6
385,620.6601823298114,7.657229567643563e6
386,620.6520078224788,7.65729284741422e6
387,620.643833562742,7.657356119386754e6
388,620.635659550601,7.657419383561651e6
389,620.6274857860556,7.657482639939398e6
390,620.619312269106,7.657545888520477e6
391,620.6111389997521,7.657609129305377e6
392,620.6029659779941,7.65767236229458e6
393,620.5947932038318,7.657735587488574e6
394,620.5866206772653,7.657798804887842e6
395,620.5784483982944,7.657862014492871e6
396,620.5702763669194,7.657925216304147e6
397,620.5621045831401,7.657988410322153e6
398,620.5539330469566,7.658051596547376e6
399,620.5457617583687,7.658114774980301e6
400,620.5375907173767,7.658177945621413e6
401,620.5294199239804,7.658241108471197e6
402,620.5212493781798,7.65830426353014e6
403,620.513079079975,7.658367410798725e6
404,620.504909029366,7.658430550277439e6
405,620.4967392263527,7.658493681966767e6
406,620.4885696709351,7.658556805867193e6
407,620.4804003631134,7.658619921979205e6
408,620.4722313028874,7.658683030303286e6
409,620.4640624902571,7.658746130839922e6
410,620.4558939252225,7.658809223589599e6
411,620.4477256077838,7.658872308552802e6
412,620.4395575379408,7.658935385730015e6
413,620.4313897156935,7.658998455121726e6
414,620.423222141042,7.659061516728417e6
415,620.4150548139862,7.659124570550577e6
416,620.4068877345262,7.6591876165886875e6
417,620.3987209026619,7.659250654843237e6
418,620.3905543183935,7.659313685314709e6
419,620.3823879817206,7.65937670800359e6
420,620.3742218926436,7.659439722910364e6
421,620.3660560511624,7.659502730035517e6
422,620.3578904572769,7.659565729379536e6
423,620.3497251109872,7.659628720942903e6
424,620.3415600122931,7.659691704726106e6
425,620.333395161195,7.659754680729629e6
426,620.3252305576924,7.6598176489539575e6
427,620.3170662017857,7.659880609399577e6
428,620.3089020934748,7.659943562066973e6
429,620.3007382327595,7.66000650695663e6
430,620.29257461964,7.660069444069035e6
431,620.2844112541163,7.660132373404672e6
432,620.2762481361883,7.660195294964027e6
433,620.2680852658561,7.660258208747584e6
434,620.2599226431196,7.660321114755831e6
435,620.2517602679789,7.66038401298925e6
436,620.243598140434,7.660446903448329e6
437,620.2354362604847,7.660509786133552e6
438,620.2272746281312,7.660572661045404e6
439,620.2191132433735,7.660635528184372e6
440,620.2109521062116,7.66069838755094e6
441,620.2027912166454,7.660761239145594e6
442,620.194630574675,7.660824082968818e6
443,620.1864701803003,7.660886919021099e6
444,620.1783100335213,7.660949747302921e6
445,620.1701501343381,7.66101256781477e6
446,620.1619904827506,7.661075380557131e6
447,620.1538310787589,7.66113818553049e6
448,620.145671922363,7.661200982735332e6
449,620.1375130135629,7.661263772172143e6
450,620.1293543523584,7.6613265538414065e6
451,620.1211959387497,7.6613893277436085e6
452,620.1130377727368,7.661452093879236e6
453,620.1048798543196,7.661514852248772e6
454,620.0967221834982,7.661577602852703e6
455,620.0885647602726,7.661640345691515e6
456,620.0804075846426,7.661703080765692e6
457,620.0722506566084,7.6617658080757195e6
458,620.06409397617,7.661828527622083e6
459,620.0559375433273,7.661891239405269e6
460,620.0477813580804,7.661953943425762e6
461,620.0396254204293,7.662016639684046e6
462,620.0314697303738,7.662079328180608e6
463,620.0233142879142,7.662142008915933e6
464,620.0151590930503,7.662204681890506e6
465,620.0070041457822,7.662267347104813e6
466,619.9988494461098,7.662330004559338e6
467,619.9906949940331,7.662392654254567e6
468,619.9825407895522,7.662455296190986e6
469,619.9743868326672,7.66251793036908e6
470,619.9662331233777,7.662580556789334e6
471,619.9580796616841,7.662643175452233e6
472,619.9499264475862,7.662705786358262e6
473,619.941773481084,7.662768389507909e6
474,619.9336207621777,7.662830984901656e6
475,619.9254682908671,7.662893572539991e6
476,619.9173160671522,7.662956152423397e6
477,619.9091640910331,7.663018724552361e6
478,619.9010123625097,7.663081288927368e6
